fromNode	zip
223	98102
223	98102
224	98102
224	98102
225	98102
225	98102
226	98102
226	98102
227	98102
227	98102
228	98102
228	98102
229	98102
229	98102
230	98102
230	98102
231	98102
231	98102
232	98102
232	98102
233	98102
233	98102
234	98102
234	98102
235	98102
235	98102
236	98102
236	98102
237	98102
237	98102
238	98102
238	98102
239	98102
239	98102
240	98102
240	98102
241	98102
241	98102
242	98102
242	98102
243	98102
243	98102
244	98102
244	98102
245	98102
245	98102
246	98102
246	98102
247	98102
247	98102
248	98102
248	98102
249	98102
249	98102
250	98102
250	98102
251	98102
251	98102
252	98102
252	98102
253	98102
253	98102
254	98102
254	98102
255	98102
255	98102
256	98102
256	98102
257	98102
257	98102
258	98102
259	98102
260	98102
261	98102
262	98102
263	98102
264	98102
265	98102
266	98102
267	98102
268	98102
269	98102
270	98102
271	98102
272	98102
273	98102
274	98102
275	98102
276	98102
277	98102
278	98102
279	98102
280	98102
281	98102
282	98102
283	98102
284	98102
285	98102
286	98102
287	98102
288	98102
289	98102
290	98102
291	98102
292	98102
293	98102
294	98102
295	98102
296	98102
297	98102
298	98102
299	98102
300	98102
301	98102
302	98102
303	98102
304	98102
305	98102
306	98102
307	98102
308	98102
309	98102
310	98102
311	98102
312	98102
313	98102
314	98102
315	98102
316	98102
317	98102
318	98102
319	98102
320	98102
321	98102
322	98102
323	98102
324	98102
325	98102
326	98102
327	98102
328	98102
329	98102
330	98102
331	98102
332	98102
333	98102
334	98102
335	98102
336	98102
337	98102
338	98102
339	98102
340	98102
341	98102
342	98102
343	98102
344	98102
345	98102
346	98102
347	98102
348	98102
349	98102
350	98102
351	98102
352	98102
353	98102
354	98102
355	98102
356	98102
357	98102
358	98102
359	98102
360	98102
361	98102
362	98102
363	98102
364	98102
365	98102
366	98102
367	98102
368	98102
369	98102
370	98102
371	98102
372	98102
373	98102
374	98102
375	98102
376	98102
377	98102
378	98102
379	98102
380	98102
381	98102
382	98102
383	98102
384	98102
385	98102
386	98102
387	98102
388	98102
389	98102
390	98102
391	98102
392	98102
393	98102
394	98102
395	98102
396	98102
397	98102
398	98102
399	98102
400	98102
401	98102
402	98102
403	98102
